news_headline,news_article,news_category,full_text,clean_text
Xiaomi announces their biggest Redmi online launch ever,"Xiaomi announced the Redmi online launch in which viewers can watch the entire product launch livestream and stand a chance to win prizes worth ₹9 lakh. To enter the contest, participants will have to answer 9 questions. It is an all-day long event with prizes for 1000+ winners and 9+9 Redmi Note devices are up for sale too.",technology,"Xiaomi announces their biggest Redmi online launch ever. Xiaomi announced the Redmi online launch in which viewers can watch the entire product launch livestream and stand a chance to win prizes worth ₹9 lakh. To enter the contest, participants will have to answer 9 questions. It is an all-day long event with prizes for 1000+ winners and 9+9 Redmi Note devices are up for sale too.",xiaomi announce big redmi online launch ever xiaomi announce redmi online launch viewer watch entire product launch livestream stand chance win prize worth lakh enter contest participant answer question day long event prize winner redmi note device sale
OnePlus to unveil its entire lineup of 5G devices at upcoming launch,"OnePlus has announced that it will be unveiling a full 5G lineup for its upcoming OnePlus 8 series launch. ""We're proud to be among the first smartphone manufacturers to have full 5G line up for our next launch,"" OnePlus Founder and CEO, Pete Lau said. He added that the smartphone experience will 'go through a dramatic development' owing to 5G.",technology,"OnePlus to unveil its entire lineup of 5G devices at upcoming launch. OnePlus has announced that it will be unveiling a full 5G lineup for its upcoming OnePlus 8 series launch. ""We're proud to be among the first smartphone manufacturers to have full 5G line up for our next launch,"" OnePlus Founder and CEO, Pete Lau said. He added that the smartphone experience will 'go through a dramatic development' owing to 5G.",oneplus unveil entire lineup g device upcoming launch oneplus announce unveil full g lineup upcoming oneplus series launch proud among first smartphone manufacturer full g line next launch oneplus founder ceo pete lau say add smartphone experience go dramatic development owe g
Twitter makes work from home compulsory for its employees worldwide,"Twitter has said that working from home is now mandatory for all its employees around the world due to COVID-19 concerns. ""We understand this is an unprecedented step, but these are unprecedented times,"" Twitter said. The company said it will help all employees, including hourly workers and contractors, cover expenses for setting up home offices. ",technology,"Twitter makes work from home compulsory for its employees worldwide. Twitter has said that working from home is now mandatory for all its employees around the world due to COVID-19 concerns. ""We understand this is an unprecedented step, but these are unprecedented times,"" Twitter said. The company said it will help all employees, including hourly workers and contractors, cover expenses for setting up home offices. ",twitter make work home compulsory employee worldwide twitter say work home mandatory employee around world due covid concern understand unprecedented step unprecedented time twitter say company say help employee include hourly worker contractor cover expense set home office
Apple employee tests positive for coronavirus in Ireland,"An Apple employee at the company's European headquarters in the city of Cork has tested positive for the novel coronavirus. ""We are closely coordinating with the local health authorities who feel the risk to others is low, and the individual remains in self-isolation,"" the company said. Apple has asked some of the team members to stay at home.",technology,"Apple employee tests positive for coronavirus in Ireland. An Apple employee at the company's European headquarters in the city of Cork has tested positive for the novel coronavirus. ""We are closely coordinating with the local health authorities who feel the risk to others is low, and the individual remains in self-isolation,"" the company said. Apple has asked some of the team members to stay at home.",apple employee test positive coronavirus ireland apple employee company european headquarter city cork test positive novel coronavirus closely coordinate local health authority feel risk low individual remain self isolation company say apple ask team member stay home
"Facial recognition tech used to identify 1,100 Delhi rioters: Amit Shah","Home Minister Amit Shah on Wednesday told the Lok Sabha that Delhi Police are using facial recognition software to identify the rioters involved in Northeast Delhi violence. ""We have also fed Aadhaar and driving license data into this software, which has identified 1,100 people. Out of these, 300 people came from Uttar Pradesh to carry out violence,"" Shah said.",technology,"Facial recognition tech used to identify 1,100 Delhi rioters: Amit Shah. Home Minister Amit Shah on Wednesday told the Lok Sabha that Delhi Police are using facial recognition software to identify the rioters involved in Northeast Delhi violence. ""We have also fed Aadhaar and driving license data into this software, which has identified 1,100 people. Out of these, 300 people came from Uttar Pradesh to carry out violence,"" Shah said.",facial recognition tech use identify delhi rioter amit shah home minister amit shah wednesday tell lok sabha delhi police use facial recognition software identify rioter involve northeast delhi violence also feed aadhaar drive license datum software identify people people come uttar pradesh carry violence shah say
Secret-sharing app 'Whisper' left data of millions of users exposed for years,"'Whisper', a secret-sharing app available on both Android and iOS platforms that let users share photo and video messages anonymously, left personal data of hundreds of millions of users unprotected for years, The Washington Post reported. The database had sensitive information like age, location, gender and even the nicknames. 'Whisper' ranks 103rd in the social media category on App Store.",technology,"Secret-sharing app 'Whisper' left data of millions of users exposed for years. 'Whisper', a secret-sharing app available on both Android and iOS platforms that let users share photo and video messages anonymously, left personal data of hundreds of millions of users unprotected for years, The Washington Post reported. The database had sensitive information like age, location, gender and even the nicknames. 'Whisper' ranks 103rd in the social media category on App Store.",secret share app whisper leave datum million user expose year whisper secret sharing app available android ios platform let user share photo video message anonymously leave personal datum hundred million user unprotect year washington post report database sensitive information like age location gender even nickname whisper rank rd social medium category app store
Escobar Fold 2 phone turns out be Samsung Galaxy Fold with golden sticker,"Several tech reviewers have revealed that Pablo Escobar's brother Roberto Escobar's phone company Escobar Inc, that promised a foldable phone for $399, is scamming buyers. While most of the buyers never received their phone, a few people who received the phone realised it was actually Samsung's Galaxy Fold smartphone. It was covered with a golden sticker to hide Samsung's branding.",technology,"Escobar Fold 2 phone turns out be Samsung Galaxy Fold with golden sticker. Several tech reviewers have revealed that Pablo Escobar's brother Roberto Escobar's phone company Escobar Inc, that promised a foldable phone for $399, is scamming buyers. While most of the buyers never received their phone, a few people who received the phone realised it was actually Samsung's Galaxy Fold smartphone. It was covered with a golden sticker to hide Samsung's branding.",escobar fold phone turn samsung galaxy fold golden sticker several tech reviewer reveal pablo escobar brother roberto escobar phone company escobar inc promise foldable phone scamm buyer buyer never receive phone people receive phone realise actually samsung galaxy fold smartphone cover golden sticker hide samsung branding
Coronavirus is putting a huge strain on medical professionals: Facebook COO,"Facebook COO Sheryl Sandberg showed her appreciation for medical professionals around the world and said, ""The [coronavirus] outbreak is putting a huge strain on them-and their families."" She shared a hand-written note that read, ""To the nurses and doctors...we are grateful for all you are doing."" Sandberg also shared stories about how medical professionals are looking out for each other. ",technology,"Coronavirus is putting a huge strain on medical professionals: Facebook COO. Facebook COO Sheryl Sandberg showed her appreciation for medical professionals around the world and said, ""The [coronavirus] outbreak is putting a huge strain on them-and their families."" She shared a hand-written note that read, ""To the nurses and doctors...we are grateful for all you are doing."" Sandberg also shared stories about how medical professionals are looking out for each other. ",coronavirus put huge strain medical professional facebook coo facebook coo sheryl sandberg show appreciation medical professional around world say [ coronavirus ] outbreak put huge strain family share hand write note read nurse doctor grateful sandberg also share story medical professional look
Apple closes all 17 stores in Italy amid coronavirus pandemic,"Apple announced it will be shutting down all 17 of its retail stores in Italy ""until further notice"" with the increasing coronavirus cases in the country. It will ""closely monitor the situation"" and keep its online and phone support open. ""Our priority remains the health and safety of everyone in the communities we serve,"" Apple said.",technology,"Apple closes all 17 stores in Italy amid coronavirus pandemic. Apple announced it will be shutting down all 17 of its retail stores in Italy ""until further notice"" with the increasing coronavirus cases in the country. It will ""closely monitor the situation"" and keep its online and phone support open. ""Our priority remains the health and safety of everyone in the communities we serve,"" Apple said.",apple close store italy amid coronavirus pandemic apple announce shut retail store italy notice increase coronavirus case country closely monitor situation keep online phone support open priority remain health safety everyone community serve apple say
"Apple stores to stop Apple Watch, AirPod try-ons due to coronavirus: Report","Apple will limit its store employees from encouraging Apple Watch and AirPods try-ons to customers in an effort to cut down coronavirus spread, a report said. However, Apple hasn't eliminated try-on process rather it has just stopped actively promoting it for the time being. It has also reduced number of chairs and stools in stores to promote distance between customers.",technology,"Apple stores to stop Apple Watch, AirPod try-ons due to coronavirus: Report. Apple will limit its store employees from encouraging Apple Watch and AirPods try-ons to customers in an effort to cut down coronavirus spread, a report said. However, Apple hasn't eliminated try-on process rather it has just stopped actively promoting it for the time being. It has also reduced number of chairs and stools in stores to promote distance between customers.",apple store stop apple watch airpod try due coronavirus report apple limit store employee encourage apple watch airpod try ons customer effort cut coronavirus spread report say however apple not eliminate try process rather stop actively promote time also reduce number chair stool store promote distance customer
